index,chatroom,dt,date,time,character,text,
,GameMasters,,,,시스템,2021년 2월 15일 월요일,
,GameMasters,,2021.02.15,13:00,GameMasters,"unCheck_num = 0<br>[게임개발연합동아리 GameMasters! 마스터 모집 알림]<br>안녕하세요. 전국 게임개발연합동아리 GameMasters입니다.<br>2021년을 함께 할 8기 GameMasters 마스터를 모집하고 있습니다! 챌린저는 저희 GameMasters를 함께 운영하게 될 분들입니다! 사업, 사무회계, 홍보, 복지 등등 다양한 포지션이 있으며 본인의 장점과 진로에 맞춰 지원해주시면 됩니다!<br><br>자세한 사항은 GameMasters 홈페이지나 페이스북, 인스타그램을 참고해주세요!",
,GameMasters,,,,시스템,2021년 3월 11일 목요일,
,GameMasters,,2021.03.11,13:00,GameMasters,"unCheck_num = 0<br>[게임개발연합동아리 GameMasters! 랭커 모집 알림]<br>안녕하세요. 전국 게임개발연합동아리 GameMasters입니다.<br>2021년을 함께 할 8기 GameMasters 랭커를 모집하고 있습니다!<br>랭커는 저희 GameMasters에서 각자 팀을 이뤄 게임을 개발하는 회원분들이십니다! 모집하는 포지션은 기획, 프로그래밍, 아트입니다! 그밖에도 사운드, PM 등등 지원해주셔도 됩니다!<br><br>지원해주실 때, 포트폴리오가 필수는 아니지만 제출하시게 된다면 꼭 GameMasters 공식 이메일로 제출 바랍니다!<br><br>자세한 사항은 GameMasters 홈페이지나 페이스북, 인스타그램을 참고해주세요!",
,엄마,,,,,시스템,2021년 3월 10일 수요일
,엄마,,2021.03.10,19:30,엄마,unCheck_num = 0<br>하쿠랑 세준이 니 방에 들어갔다.,
,엄마,,,19:32,아트님,unCheck_num = 0<br>엥? 방문 열려있었어?,
,엄마,,,19:33,엄마,unCheck_num = 0<br>아니 알아서 열고 들어갔어,
,엄마,,,19:35,아트님,unCheck_num = 0<br>문 꽉 닫고 나왔는데 어떻게 들어간거야.,
,엄마,,,,시스템,2021년 3월 11일 목요일,
,엄마,,2021.03.11,12:12,엄마,unCheck_num = 0<br>밥은 챙겨 먹었니?,
,벅찬우,,,,시스템,2021년 3월 6일 토요일,
,벅찬우,,2021.03.06,15:17,벅찬우,unCheck_num = 0<br>너 프사 너네집 개임?,
,벅찬우,,,15:30,아트님,unCheck_num = 0<br>ㅇㅇ,
,벅찬우,,,15:32,벅찬우,unCheck_num = 0<br>개귀엽네,
,벅찬우,,,15:33,아트님,unCheck_num = 0<br>image_05,
,벅찬우,,,15:33,벅찬우,unCheck_num = 0<br>개가 개귀엽네,
,벅찬우,,,16:42,벅찬우,unCheck_num = 0<br>저기요..?,
,벅찬우,,,16:42,벅찬우,unCheck_num = 0<br>ㄷㄷ,
