index,chatroom,dt,date,time,character,text
,엄마,,2021.08.21,,시스템,2021년 8월 21일 토요일
,엄마,,2021.08.21,11:58,아트님,unCheck_num = 0<br>엄마 하쿠랑 세준이 어디갔어?
,엄마,,2021.08.21,12:05,엄마,unCheck_num = 0<br>그걸 내가 어떻게 알아
,엄마,,2021.08.21,12:05,엄마,unCheck_num = 0<br>애들 없어?
,엄마,,2021.08.21,12:07,아트님,unCheck_num = 0<br>아 찾았다.
,엄마,,2021.08.21,12:08,엄마,unCheck_num = 0<br>어딨었어?
,엄마,,2021.08.21,12:09,아트님,unCheck_num = 0<br>2층 침대 위에 숨어있었어.
,엄마,,2021.08.21,12:10,엄마,unCheck_num = 0<br>ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
,엄마,,2021.08.21,12:10,엄마,unCheck_num = 0<br>오늘 더우니까 에어컨 켜놔도 되는데 너무 오래 켜놓지 마라
,벅찬우,,2021.08.12,,시스템,2021년 8월 12일 목요일
,벅찬우,,2021.08.12,16:21,벅찬우,unCheck_num = 0<br>이번에 출혈노기에 라이딩 새로 나옴.
,벅찬우,,2021.08.12,16:21,벅찬우,unCheck_num = 0<br>개귀여움
,벅찬우,,2021.08.12,16:22,아트님,unCheck_num = 0<br>우리집 멍멍이가 더 귀여움
,벅찬우,,2021.08.12,16:22,아트님,image_06
,벅찬우,,2021.08.12,16:23,벅찬우,unCheck_num = 0<br>ㅇㅈ
,벅찬우,,2021.08.12,16:23,벅찬우,unCheck_num = 0<br>그래서 출혈노기 들어올거임?
,이채린(플밍),,2021.07.25,,시스템,2021년 7월 25일 일요일
,이채린(플밍),,2021.07.25,15:32,이채린(플밍),"unCheck_num = 0<br>아트님, UI 리소스 저번에 보내주신 걸로 하면 되나요?"
,이채린(플밍),,2021.07.25,15:36,아트님,"unCheck_num = 0<br>네, 그걸로 배치 잡아주시면 돼요."
,이채린(플밍),,2021.07.25,15:38,이채린(플밍),unCheck_num = 0<br>그러면 이게 최종 완성인가요?
,이채린(플밍),,2021.07.25,15:38,아트님,unCheck_num = 0<br>아니에요. 그거 러프에요.
,이채린(플밍),,2021.07.25,15:39,아트님,unCheck_num = 0<br>그걸로 배치 잡아두시라고 보내드린 거에요.
,이채린(플밍),,2021.07.25,15:40,이채린(플밍),unCheck_num = 0<br>네~
