index,chatroom,dt,date,time,character,text
1,팀단톡,0.00,,,시스템,2021년 8월 21일 토요일
2,팀단톡,0.00,2021.08.21,15:56,팀장님,unCheck_num = 0<br>숲 몬스터 기획서 수정했습니다~
3,팀단톡,0.00,,15:56,팀장님,unCheck_num = 0<br>+숲 몬스터 vo1.2.1.docs
3,팀단톡,0.00,,16:12,이채린,unCheck_num = 0<br>네~
4,팀단톡,0.00,,16:15,아트님,"unCheck_num = 0<br>네, 알겠습니다."
5,팀단톡,0.00,,16:15,김산호,unCheck_num = 0<br>ㅇㄱㅇ
,팀단톡,,,,게임시작,
6,팀단톡,0.00,,,시스템,2021년 8월 22일 일요일
7,팀단톡,1.00,2021.08.22,11:37,아트님,unCheck_num = 3<br>팀장님
8,팀단톡,1.00,,11:37,아트님,unCheck_num = 3<br>몬스터 올려주신 거 수정해주셔야 할 것 같아요ㅠㅠ
9,팀단톡,2.00,,,입장,1
10,팀단톡,1.00,,11:39,팀장님,unCheck_num = 2<br>어떤 건가요?
11,팀단톡,2.00,,11:40,아트님,unCheck_num = 2<br>'일반적인 전통판타지의 고블린'
12,팀단톡,2.00,,11:41,아트님,unCheck_num = 2<br>이 부분이요. 이렇게 쓰면 안 돼요. 원하시는 고블린이 어떤 환경에서 자라서 어떤 특징을 가지고 있는지를 작성해주셔야 해요.
13,팀단톡,3.00,,11:41,팀장님,unCheck_num = 2<br>정말로 말 그대로 우리가 아는 그 고블린인데요..
14,팀단톡,2.00,,,독백,"하, 또 시작이네.(1t)"
15,팀단톡,0.00,,,독백,지난 몇 달 동안... 도대체!(1t)
16,팀단톡,0.00,,,독백,몇번이나 이러는지 모르겠네.(1t)
17,팀단톡,2.00,,11:43,아트님,unCheck_num = 2<br>일반적인 만화에서 나오는 고블린들도 여러 특징을 가지고 있어서 다르게 생겼는데..
18,팀단톡,2.00,,11:44,아트님,unCheck_num = 2<br>이 숲의 환경을 제가 모르는 상태로 일반적인 고블린들 중 어떤 고블린을 원하시는지를 모르겠어서 말씀드리는 거에요ㅠㅠ
19,팀단톡,2.00,,11:45,팀장님,unCheck_num = 2<br>말씀하신 대로 일반적인 만화에서 나오는 초록색 고블린이라고 생각하시면 돼요.
,팀단톡,2.00,,,선택지,그럼 이 고블린은 키가 어느정도 되나요?
,팀단톡,,,,선택지,그니까 그 고블린도 다양하잖아요?
20,팀단톡,1.00,,11:46,아트님,unCheck_num = 2<br>그럼 이 고블린은 키가 어느정도 되나요?
21,팀단톡,2.00,,11:46,팀장님,unCheck_num = 2<br>사람보다 조금 작은 정도에요.
22,팀단톡,2.00,,11:46,아트님,unCheck_num = 2<br>그럼 주인공보다 조금 작은 건가요?
23,팀단톡,1.00,,11:46,팀장님,unCheck_num = 2<br>네네
24,팀단톡,2.00,,11:47,아트님,unCheck_num = 2<br>그러면 마른 체형만 있나요?
25,팀단톡,2.00,,11:48,팀장님,unCheck_num = 2<br>잘 아시네요.
26,팀단톡,2.00,,11:49,아트님,unCheck_num = 2<br>다음부터 이런 부분들도 적어주실 수 있나요?
27,팀단톡,1.00,,11:46,아트님,unCheck_num = 2<br>그니까 그 고블린도 다양하잖아요?
28,팀단톡,2.00,,11:46,팀장님,"unCheck_num = 2<br>다양한가요? 그냥 초록색 피부에 키는 성인남성 평균 키보다 조금 작고, 눈, 코 귀가 큰 애들이에요."
29,팀단톡,1.00,,,독백,"뭐야, 잘 설명하네. (1t)"
30,팀단톡,2.00,,11:47,아트님,unCheck_num = 2<br>그러니까 그런 거를 적어주셔야해요.
31,팀단톡,1.00,,11:47,팀장님,unCheck_num = 2<br>이건 너무 당연한건데 적을 필요까지 있나요?
32,팀단톡,2.00,,11:48,아트님,unCheck_num = 2<br>당연히 적어야죠. 그래야 기획이 정확하게 뭘 원하는지를 저희가 파악하죠.
33,팀단톡,2.00,,11:49,팀장님,unCheck_num = 2<br>아니 이미 정확하게 파악하고 계시잖아요.
34,팀단톡,1.00,,11:49,팀장님,unCheck_num = 2<br>흠
35,팀단톡,2.00,,11:50,팀장님,unCheck_num = 2<br>원하시면 그렇게는 해드릴게요.
36,팀단톡,,,,입장,1
37,팀단톡,2.00,,,독백,답답하다. 이게 몇번째지 (1t)
38,팀단톡,2.00,,11:51,아트님,unCheck_num = 1<br>그리고 팀장님 하나 더 있어요.
39,팀단톡,2.00,,11:51,팀장님,unCheck_num = 1<br>어떤 건가요?
40,팀단톡,2.00,,11:52,아트님,"unCheck_num = 1<br>이거 저번에도 말씀드린건데, 모션들도 수정이 필요할 것 같아요."
41,팀단톡,2.00,,11:52,팀장님,unCheck_num = 1<br>어떤 모션 말하는 건가요?
42,팀단톡,2.00,,11:52,아트님,unCheck_num = 1<br>전사 고블린이 검을 끌면서 다니잖아요
43,팀단톡,2.00,,11:53,아트님,unCheck_num = 1<br>그런데 공격 모션이 수직 베기라고 나와있는데 그러면 땅에 걸리거든요
44,팀단톡,2.00,,11:53,김산호,unCheck_num = 1<br>맞아 나도 그거 궁금했음.
45,팀단톡,2.00,,11:53,팀장님,unCheck_num = 1<br>근데 그렇게 검을 베는 게임이 있는데요.
46,팀단톡,1.00,,11:54,팀장님,unCheck_num = 1<br>땅에 질질 끌고 다니다가 위로 베어요.
47,팀단톡,2.00,,11:54,아트님,unCheck_num = 1<br>그게 된다고요?
48,팀단톡,1.00,,11:55,팀장님,unCheck_num = 1<br>image_02
49,팀단톡,,,,입장,1
50,팀단톡,1.00,,,독백,이거는 대각선으로 베는 거잖아...(1t)
,팀단톡,1.00,,,선택지,(안 되겠다. 직접 그려서 보여줘야겠다.)
,팀단톡,,,,선택지,이거는 대각선으로 베는 거에요ㅠㅠ
51,팀단톡,1.00,,11:55,아트님,unCheck_num = 0<br>잠시만요
52,팀단톡,5.00,,12:00,아트님,unCheck_num = 0<br>image_03
53,팀단톡,2.00,,12:00,아트님,unCheck_num = 0<br>이렇게 대각선으로 베는 거에요.
54,팀단톡,2.00,,12:00,팀장님,unCheck_num = 0<br>아 그러네요.
55,팀단톡,1.00,,11:55,아트님,unCheck_num = 0<br>이거는 대각선으로 베는 거에요ㅠㅠ
56,팀단톡,2.00,,11:56,팀장님,unCheck_num = 0<br>아니 이렇게 위로 베잖아요.
57,팀단톡,2.00,,11:56,김산호,unCheck_num = 0<br>엥 그런가 뭐지
58,팀단톡,2.00,,11:56,김산호,"unCheck_num = 0<br>채린 언니, 언니는 어떻게 보여?"
59,팀단톡,2.00,,11:57,아트님,"unCheck_num = 0<br>자, 팀장님 수직으로 베는 거면 그 상태로 땅을 파버리겠죠?"
60,팀단톡,1.00,,11:57,이채린,unCheck_num = 0<br>어..? 나는 잘 모르겠어…
61,팀단톡,1.00,,11:57,김산호,unCheck_num = 0<br>아 그러네
62,팀단톡,2.00,,11:58,팀장님,unCheck_num = 0<br>아니
63,팀단톡,1.00,,11:58,팀장님,unCheck_num = 0<br>아니에요.
64,팀단톡,2.00,,11:59,아트님,unCheck_num = 0<br>말씀하세요.
